Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 1, 1  1  4  6 , 4.39, 99.2%, 4.66, 1.47,"[1, 1, 4, 6]"
 2, 1  1  11  11 , 4.43, 99.6%, 4.69, 1.46,"[1, 1, 11, 11]"
 3, 1  1  3  8 , 4.44, 99.2%, 4.7, 1.49,"[1, 1, 3, 8]"
 4, 1  1  1  8 , 4.46, 98.9%, 4.65, 1.24,"[1, 1, 1, 8]"
 5, 6  6  6  6 , 4.58, 99.4%, 4.82, 1.49,"[6, 6, 6, 6]"
 6, 1  1  2  12 , 4.61, 99.2%, 4.95, 1.56,"[1, 1, 2, 12]"
 7, 1  1  10  12 , 4.8, 99%, 5.05, 1.54,"[1, 1, 10, 12]"
 8, 1  2  2  6 , 4.8, 99.2%, 5.16, 1.61,"[1, 2, 2, 6]"
 9, 1  1  1  12 , 4.85, 99.2%, 5.18, 1.63,"[1, 1, 1, 12]"
 10, 2  2  10  10 , 4.85, 98.2%, 5.13, 1.62,"[2, 2, 10, 10]"
 11, 1  1  2  8 , 4.96, 97.8%, 5.31, 1.74,"[1, 1, 2, 8]"
 12, 1  1  4  8 , 4.98, 98.2%, 5.35, 1.83,"[1, 1, 4, 8]"
 13, 2  2  2  12 , 5, 99.1%, 5.34, 1.68,"[2, 2, 2, 12]"
 14, 1  1  3  12 , 5.01, 97.3%, 5.35, 1.82,"[1, 1, 3, 12]"
 15, 1  1  5  8 , 5.01, 96.4%, 5.38, 1.82,"[1, 1, 5, 8]"
 16, 4  6  11  11 , 5.02, 98.9%, 5.39, 1.72,"[4, 6, 11, 11]"
 17, 1  1  4  12 , 5.04, 97.5%, 5.46, 1.84,"[1, 1, 4, 12]"
 18, 3  3  3  8 , 5.04, 98%, 5.4, 1.79,"[3, 3, 3, 8]"
 19, 1  1  12  12 , 5.05, 99.4%, 5.42, 1.66,"[1, 1, 12, 12]"
 20, 1  1  2  6 , 5.08, 98.4%, 5.4, 1.61,"[1, 1, 2, 6]"
 21, 1  1  2  11 , 5.1, 98.9%, 5.42, 1.7,"[1, 1, 2, 11]"
 22, 11  11  12  12 , 5.11, 98.7%, 5.52, 1.88,"[11, 11, 12, 12]"
 23, 1  2  3  4 , 5.12, 99.1%, 5.46, 1.82,"[1, 2, 3, 4]"
 24, 3  7  7  8 , 5.13, 96.8%, 5.51, 1.91,"[3, 7, 7, 8]"
 25, 1  1  13  13 , 5.14, 99.3%, 5.45, 1.65,"[1, 1, 13, 13]"
 26, 1  1  3  6 , 5.17, 97.8%, 5.51, 1.76,"[1, 1, 3, 6]"
 27, 1  1  3  9 , 5.18, 97%, 5.53, 1.86,"[1, 1, 3, 9]"
 28, 1  1  5  6 , 5.18, 96.9%, 5.62, 2.03,"[1, 1, 5, 6]"
 29, 1  2  4  12 , 5.18, 97.7%, 5.58, 1.99,"[1, 2, 4, 12]"
 30, 1  1  2  13 , 5.19, 98.7%, 5.49, 1.78,"[1, 1, 2, 13]"
 31, 4  6  7  7 , 5.19, 98.6%, 5.53, 1.83,"[4, 6, 7, 7]"
 32, 7  7  12  12 , 5.21, 98.6%, 5.6, 1.87,"[7, 7, 12, 12]"
 33, 1  1  11  13 , 5.23, 99.1%, 5.65, 1.83,"[1, 1, 11, 13]"
 34, 4  5  12  12 , 5.24, 97%, 5.61, 1.79,"[4, 5, 12, 12]"
 35, 4  6  13  13 , 5.24, 98.8%, 5.65, 1.79,"[4, 6, 13, 13]"
 36, 12  12  12  12 , 5.24, 99.3%, 5.72, 2.12,"[12, 12, 12, 12]"
 37, 1  6  6  12 , 5.25, 98.7%, 5.58, 1.71,"[1, 6, 6, 12]"
 38, 2  11  11  12 , 5.25, 97.2%, 5.67, 1.99,"[2, 11, 11, 12]"
 39, 4  4  4  6 , 5.26, 98.2%, 5.62, 1.96,"[4, 4, 4, 6]"
 40, 1  1  1  11 , 5.28, 97.4%, 5.57, 1.65,"[1, 1, 1, 11]"
 41, 2  7  7  12 , 5.28, 98.7%, 5.65, 1.89,"[2, 7, 7, 12]"
 42, 1  1  11  12 , 5.29, 99.3%, 5.68, 1.78,"[1, 1, 11, 12]"
 43, 1  5  7  12 , 5.3, 98.3%, 5.87, 2.11,"[1, 5, 7, 12]"
 44, 10  10  12  12 , 5.3, 98.6%, 5.72, 1.89,"[10, 10, 12, 12]"
 45, 1  8  8  8 , 5.32, 97.8%, 5.67, 1.94,"[1, 8, 8, 8]"
 46, 2  2  3  8 , 5.33, 98.2%, 5.73, 1.95,"[2, 2, 3, 8]"
 47, 3  8  13  13 , 5.33, 94.9%, 5.69, 2.07,"[3, 8, 13, 13]"
 48, 11  11  11  12 , 5.33, 94.9%, 5.62, 1.98,"[11, 11, 11, 12]"
 49, 1  1  5  5 , 5.35, 99.1%, 5.71, 1.8,"[1, 1, 5, 5]"
 50, 2  9  9  12 , 5.35, 97.4%, 5.76, 2,"[2, 9, 9, 12]"
 51, 9  9  12  12 , 5.36, 98.4%, 5.84, 2.1,"[9, 9, 12, 12]"
 52, 3  3  12  12 , 5.38, 98.8%, 5.85, 2.04,"[3, 3, 12, 12]"
 53, 1  1  4  5 , 5.39, 97.8%, 5.77, 2,"[1, 1, 4, 5]"
 54, 3  8  11  11 , 5.39, 96%, 5.74, 2.07,"[3, 8, 11, 11]"
 55, 8  8  12  12 , 5.39, 98.6%, 5.82, 1.96,"[8, 8, 12, 12]"
 56, 1  6  8  12 , 5.4, 96.9%, 5.78, 1.99,"[1, 6, 8, 12]"
 57, 5  6  12  12 , 5.4, 97.1%, 5.79, 1.8,"[5, 6, 12, 12]"
 58, 11  12  12  12 , 5.4, 97.7%, 5.74, 1.88,"[11, 12, 12, 12]"
 59, 12  12  13  13 , 5.4, 98.6%, 5.8, 1.91,"[12, 12, 13, 13]"
 60, 1  1  12  13 , 5.42, 98.8%, 5.81, 1.84,"[1, 1, 12, 13]"
 61, 1  3  5  12 , 5.42, 96.4%, 5.78, 2.09,"[1, 3, 5, 12]"
 62, 5  5  12  12 , 5.42, 98.7%, 5.79, 1.74,"[5, 5, 12, 12]"
 63, 1  9  9  12 , 5.44, 95.6%, 5.72, 1.77,"[1, 9, 9, 12]"
 64, 3  8  10  10 , 5.44, 95.6%, 5.9, 2.26,"[3, 8, 10, 10]"
 65, 3  4  4  8 , 5.46, 98.3%, 5.87, 1.94,"[3, 4, 4, 8]"
 66, 3  8  9  9 , 5.46, 97.1%, 5.82, 1.97,"[3, 8, 9, 9]"
 67, 2  3  3  12 , 5.47, 98.6%, 5.92, 2.05,"[2, 3, 3, 12]"
 68, 2  5  5  12 , 5.48, 98.7%, 5.89, 1.99,"[2, 5, 5, 12]"
 69, 2  12  13  13 , 5.5, 97.2%, 5.84, 2,"[2, 12, 13, 13]"
 70, 7  7  11  12 , 5.5, 93.7%, 5.79, 2.05,"[7, 7, 11, 12]"
 71, 11  11  11  13 , 5.5, 98.4%, 6.04, 2.24,"[11, 11, 11, 13]"
 72, 1  1  3  7 , 5.51, 96.9%, 5.83, 1.95,"[1, 1, 3, 7]"
 73, 1  4  10  10 , 5.51, 97.9%, 5.92, 2.09,"[1, 4, 10, 10]"
 74, 5  5  11  12 , 5.51, 96.5%, 5.89, 1.89,"[5, 5, 11, 12]"
 75, 1  2  5  8 , 5.53, 95.6%, 5.94, 2.25,"[1, 2, 5, 8]"
 76, 1  3  4  12 , 5.53, 98.6%, 5.95, 1.95,"[1, 3, 4, 12]"
 77, 4  4  12  12 , 5.53, 98.6%, 5.95, 2.05,"[4, 4, 12, 12]"
 78, 2  2  4  6 , 5.55, 99%, 5.93, 1.91,"[2, 2, 4, 6]"
 79, 3  5  5  8 , 5.55, 97%, 5.94, 2.06,"[3, 5, 5, 8]"
 80, 1  8  9  12 , 5.56, 96.4%, 5.87, 1.96,"[1, 8, 9, 12]"
 81, 1  3  10  10 , 5.57, 97.4%, 5.86, 1.99,"[1, 3, 10, 10]"
 82, 2  3  12  12 , 5.58, 97.4%, 5.97, 1.98,"[2, 3, 12, 12]"
 83, 6  7  12  12 , 5.58, 95.7%, 5.95, 2.04,"[6, 7, 12, 12]"
 84, 1  1  1  13 , 5.59, 97.3%, 5.9, 1.78,"[1, 1, 1, 13]"
 85, 1  4  7  12 , 5.59, 98.4%, 5.99, 2,"[1, 4, 7, 12]"
 86, 1  6  7  12 , 5.59, 98.5%, 6, 1.99,"[1, 6, 7, 12]"
 87, 2  3  3  8 , 5.59, 96.9%, 5.94, 1.93,"[2, 3, 3, 8]"
 88, 1  3  3  4 , 5.6, 97.5%, 5.85, 1.77,"[1, 3, 3, 4]"
 89, 1  8  8  12 , 5.61, 96.5%, 5.91, 1.88,"[1, 8, 8, 12]"
 90, 8  8  11  13 , 5.62, 97.1%, 6.13, 2.29,"[8, 8, 11, 13]"
 91, 1  1  4  7 , 5.63, 97.2%, 5.94, 2.05,"[1, 1, 4, 7]"
 92, 2  7  7  8 , 5.63, 96.8%, 5.94, 1.99,"[2, 7, 7, 8]"
 93, 3  7  8  8 , 5.65, 96.1%, 6.02, 2.06,"[3, 7, 8, 8]"
 94, 5  5  7  7 , 5.65, 97.9%, 5.98, 1.9,"[5, 5, 7, 7]"
 95, 1  1  10  13 , 5.66, 97.9%, 6.1, 2.19,"[1, 1, 10, 13]"
 96, 1  2  5  12 , 5.66, 95.6%, 6.12, 2.2,"[1, 2, 5, 12]"
 97, 4  4  11  13 , 5.66, 98%, 6.26, 2.34,"[4, 4, 11, 13]"
 98, 4  6  6  6 , 5.66, 98.4%, 6.04, 2.08,"[4, 6, 6, 6]"
 99, 7  8  12  12 , 5.66, 96.1%, 6.1, 2.13,"[7, 8, 12, 12]"
 100, 9  9  11  12 , 5.66, 94%, 6, 2.15,"[9, 9, 11, 12]"
 101, 1  1  2  10 , 5.68, 95.7%, 5.97, 1.82,"[1, 1, 2, 10]"
 102, 1  6  9  12 , 5.69, 95.5%, 6.06, 2.12,"[1, 6, 9, 12]"
 103, 1  7  9  12 , 5.69, 96.1%, 6.09, 2.23,"[1, 7, 9, 12]"
 104, 3  3  4  6 , 5.69, 97.8%, 6.12, 2.1,"[3, 3, 4, 6]"
 105, 4  5  5  6 , 5.69, 97.4%, 6.1, 2.11,"[4, 5, 5, 6]"
 106, 4  5  11  12 , 5.69, 97.4%, 6.08, 2.1,"[4, 5, 11, 12]"
 107, 1  7  7  10 , 5.7, 97.9%, 6.15, 2.15,"[1, 7, 7, 10]"
 108, 2  2  12  12 , 5.7, 98.7%, 6.22, 2.24,"[2, 2, 12, 12]"
 109, 3  7  7  7 , 5.7, 97.5%, 6.03, 2.01,"[3, 7, 7, 7]"
 110, 1  2  2  10 , 5.71, 96.5%, 6.05, 2.1,"[1, 2, 2, 10]"
 111, 2  2  2  3 , 5.71, 99%, 5.97, 1.71,"[2, 2, 2, 3]"
 112, 4  8  11  11 , 5.71, 95.2%, 6.03, 1.98,"[4, 8, 11, 11]"
